,Orden,Expediente,Caratula,Fecha,Proceso
816,22,249/19,G.................... S/DIVORCIO,28-02-2022,DIVORCIO
817,23,1254/19,G.................... S/HOMOLOGACION DE CONVENIO,28-02-2022,HOMOLOGACION DE CONVENIO
818,24,254/17,G.................... S/INCIDENTE,28-02-2022,INCIDENTE
819,25,06/22-S,G.................... S/VIOLENCIA DE GENERO,28-02-2022,VIOLENCIA DE GENERO
820,26,604/05-JC,I.................... S/.JUICIO DE INCAPACIDAD,28-02-2022,.JUICIO DE INCAPACIDAD
821,27,68/22-S,J.................... S/ELEVA ACTUACIONES,28-02-2022,ELEVA ACTUACIONES
822,28,71/22-S,J.................... S/ELEVA ACTUACIONES,28-02-2022,ELEVA ACTUACIONES
823,29,815/20,L.................... S/DIVORCIO,28-02-2022,DIVORCIO
824,30,363/21-C,M.................... S/HOMOLOGACION DE CONVENIO,28-02-2022,HOMOLOGACION DE CONVENIO
825,31,458/20,M.................... S/HOMOLOGACION DE CONVENIO,28-02-2022,HOMOLOGACION DE CONVENIO
826,32,163/21-C,M.................... S/INCIDENTE DE MODIFICACION DE,28-02-2022,INCIDENTE DE MODIFICACION DE
827,33,219/20,M.................... S/VIOLENCIA FAMILIAR,28-02-2022,VIOLENCIA FAMILIAR
828,34,482/17,M.................... S/VIOLENCIA FAMILIAR (DENUNCIA,28-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
829,35,486/10-JC,P.................... S/PROTECCION DE PERSONA,28-02-2022,PROTECCION DE PERSONA
830,36,01/20,P.................... S/VIOLENCIA FAMILIAR (DENUNCIA,28-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
831,37,56/21-C,R.................... S/MEDIDA CAUTELAR,28-02-2022,MEDIDA CAUTELAR
832,38,02/22-S,R.................... S/VIOLENCIA DE GENERO,28-02-2022,VIOLENCIA DE GENERO
833,39,318/21-C,S.................... S/ALIMENTOS,28-02-2022,ALIMENTOS
834,40,1329/17,S.................... S/DIVORCIO VINCULAR,28-02-2022,DIVORCIO VINCULAR
835,41,618/16,S.................... S/DIVORCIO VINCULAR,28-02-2022,DIVORCIO VINCULAR
836,42,454/16,S.................... S/INCIDENTE,28-02-2022,INCIDENTE
837,43,370/21-S,S.................... S/VIOLENCIA DE GENERO,28-02-2022,VIOLENCIA DE GENERO
838,44,150/20,S.................... S/VIOLENCIA FAMILIAR,28-02-2022,VIOLENCIA FAMILIAR
839,45,22/22-S,S.................... S/VIOLENCIA FAMILIAR,28-02-2022,VIOLENCIA FAMILIAR
840,46,565/18,U.................... S/ALIMENTOS,28-02-2022,ALIMENTOS
841,47,243/21-C,U.................... S/INCIDENTE,28-02-2022,INCIDENTE
842,48,788/20,V.................... S/DIVORCIO,28-02-2022,DIVORCIO
843,49,72/22-S,V.................... S/VIOLENCIA DE GENERO,28-02-2022,VIOLENCIA DE GENERO
844,1,623/06 JC,A.................... S/.DECLARACION DE INCAPACIDAD,02-03-2022,.DECLARACION DE INCAPACIDAD
845,2,930/06-JC,A.................... S/.JUICIO DE INCAPACIDAD,02-03-2022,.JUICIO DE INCAPACIDAD
846,3,1979/18,A.................... S/DIVORCIO,02-03-2022,DIVORCIO
847,4,434/16,A.................... S/INCIDENTE,02-03-2022,INCIDENTE
848,5,385/17,A.................... S/PROTECCION INTEGRAL,02-03-2022,PROTECCION INTEGRAL
849,6,1238/19,B.................... S/ALIMENTOS,02-03-2022,ALIMENTOS
850,7,277/20,B.................... S/VIOLENCIA FAMILIAR,02-03-2022,VIOLENCIA FAMILIAR
851,8,323/20,B.................... S/VIOLENCIA FAMILIAR,02-03-2022,VIOLENCIA FAMILIAR
852,9,431/20,B.................... S/VIOLENCIA FAMILIAR,02-03-2022,VIOLENCIA FAMILIAR
853,10,666/19,B.................... S/VIOLENCIA FAMILIAR,02-03-2022,VIOLENCIA FAMILIAR
854,11,18/20,C.................... S/ELEVA ACTUACIONES,02-03-2022,ELEVA ACTUACIONES
855,12,499/18,C.................... S/FILIACION,02-03-2022,FILIACION
856,13,40/22-S,C.................... S/PROTECCION INTEGRAL,02-03-2022,PROTECCION INTEGRAL
857,14,09/22-S,C.................... S/VIOLENCIA DE GENERO,02-03-2022,VIOLENCIA DE GENERO
858,15,663/18,C.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,02-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
859,16,921/19,D.................... S/DIVORCIO,02-03-2022,DIVORCIO
860,17,94/21-C,D.................... S/EJECUCION DE HONORARIOS,02-03-2022,EJECUCION DE HONORARIOS
861,18,709/20,D.................... S/ELEVA ACTUACIONES,02-03-2022,ELEVA ACTUACIONES
862,19,873/19,D.................... S/MEDIDA CAUTELAR,02-03-2022,MEDIDA CAUTELAR
863,20,1233/19,E.................... S/ALIMENTOS,02-03-2022,ALIMENTOS
864,21,1723/18,E.................... S/DIVORCIO,02-03-2022,DIVORCIO
865,22,249/19,G.................... S/DIVORCIO,02-03-2022,DIVORCIO
866,23,1254/19,G.................... S/HOMOLOGACION DE CONVENIO,02-03-2022,HOMOLOGACION DE CONVENIO
867,24,254/17,G.................... S/INCIDENTE,02-03-2022,INCIDENTE
868,25,06/22-S,G.................... S/VIOLENCIA DE GENERO,02-03-2022,VIOLENCIA DE GENERO
869,26,604/05-JC,I.................... S/.JUICIO DE INCAPACIDAD,02-03-2022,.JUICIO DE INCAPACIDAD
870,27,68/22-S,J.................... S/ELEVA ACTUACIONES,02-03-2022,ELEVA ACTUACIONES
871,28,71/22-S,J.................... S/ELEVA ACTUACIONES,02-03-2022,ELEVA ACTUACIONES
872,29,904/20,J.................... S/VIOLENCIA DE GENERO,02-03-2022,VIOLENCIA DE GENERO
873,30,815/20,L.................... S/DIVORCIO,02-03-2022,DIVORCIO
874,31,363/21-C,M.................... S/HOMOLOGACION DE CONVENIO,02-03-2022,HOMOLOGACION DE CONVENIO
875,32,458/20,M.................... S/HOMOLOGACION DE CONVENIO,02-03-2022,HOMOLOGACION DE CONVENIO
876,33,163/21-C,M.................... S/INCIDENTE DE MODIFICACION DE,02-03-2022,INCIDENTE DE MODIFICACION DE
877,34,219/20,M.................... S/VIOLENCIA FAMILIAR,02-03-2022,VIOLENCIA FAMILIAR
878,35,482/17,M.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
879,36,486/10-JC,P.................... S/PROTECCION DE PERSONA,02-03-2022,PROTECCION DE PERSONA
880,37,01/20,P.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
881,38,56/21-C,R.................... S/MEDIDA CAUTELAR,02-03-2022,MEDIDA CAUTELAR
882,39,02/22-S,R.................... S/VIOLENCIA DE GENERO,02-03-2022,VIOLENCIA DE GENERO
883,40,318/21-C,S.................... S/ALIMENTOS,02-03-2022,ALIMENTOS
884,41,1329/17,S.................... S/DIVORCIO VINCULAR,02-03-2022,DIVORCIO VINCULAR
885,42,618/16,S.................... S/DIVORCIO VINCULAR,02-03-2022,DIVORCIO VINCULAR
886,43,454/16,S.................... S/INCIDENTE,02-03-2022,INCIDENTE
887,44,370/21-S,S.................... S/VIOLENCIA DE GENERO,02-03-2022,VIOLENCIA DE GENERO
888,45,150/20,S.................... S/VIOLENCIA FAMILIAR,02-03-2022,VIOLENCIA FAMILIAR
889,46,22/22-S,S.................... S/VIOLENCIA FAMILIAR,02-03-2022,VIOLENCIA FAMILIAR
890,47,565/18,U.................... S/ALIMENTOS,02-03-2022,ALIMENTOS
891,48,243/21-C,U.................... S/INCIDENTE,02-03-2022,INCIDENTE
892,49,788/20,V.................... S/DIVORCIO,02-03-2022,DIVORCIO
893,50,72/22-S,V.................... S/VIOLENCIA DE GENERO,02-03-2022,VIOLENCIA DE GENERO
894,1,221/21-S,A.................... S/VIOLENCIA DE GENERO,03-03-2022,VIOLENCIA DE GENERO
895,2,435/16,B.................... S/INCIDENTE,03-03-2022,INCIDENTE
896,3,1001/17,B.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
897,4,257/20,C.................... S/ELEVA ACTUACIONES,03-03-2022,ELEVA ACTUACIONES
898,5,467/16,C.................... S/INCIDENTE,03-03-2022,INCIDENTE
899,6,80/22-C,C.................... S/INCIDENTE,03-03-2022,INCIDENTE
900,7,1480/19,C.................... S/MEDIDA CAUTELAR,03-03-2022,MEDIDA CAUTELAR
901,8,55/22-S,C.................... S/VIOLENCIA DE GENERO,03-03-2022,VIOLENCIA DE GENERO
902,9,74/21-C,D.................... S/EJECUCION DE HONORARIOS,03-03-2022,EJECUCION DE HONORARIOS
903,10,07/22-OF,D.................... S/OFICIO,03-03-2022,OFICIO
904,11,120/21-S,D.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
905,12,1611/19,D.................... S/VIOLENCIA FAMILIAR,03-03-2022,VIOLENCIA FAMILIAR
906,13,411/17,D.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
907,14,548/20,E.................... S/FILIACION Y DAÑO MORAL,03-03-2022,FILIACION Y DAÑO MORAL
908,15,812/20,E.................... S/HOMOLOGACION DE CONVENIO,03-03-2022,HOMOLOGACION DE CONVENIO
909,16,269/06-JC,F.................... S/.FILIACION,03-03-2022,.FILIACION
910,17,637/16,F.................... S/INCIDENTE,03-03-2022,INCIDENTE
911,18,11/17,F.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
912,19,1581/19,G.................... S/DIVORCIO,03-03-2022,DIVORCIO
913,20,1602/19,G.................... S/DIVORCIO,03-03-2022,DIVORCIO
914,21,636/16,G.................... S/INCIDENTE,03-03-2022,INCIDENTE
915,22,83/22-C,G.................... S/INCIDENTE,03-03-2022,INCIDENTE
916,23,53/22-S,G.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
917,24,834/18,G.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
918,25,1058/16,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
919,26,1253/18,I.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
920,27,767/04,J.................... S/.DECLARACION DE INCAPACIDAD,03-03-2022,.DECLARACION DE INCAPACIDAD
921,28,27/22-S,J.................... S/ELEVA ACTUACIONES,03-03-2022,ELEVA ACTUACIONES
922,29,85/22-S,J.................... S/ELEVA ACTUACIONES,03-03-2022,ELEVA ACTUACIONES
923,30,641/16,J.................... S/INCIDENTE,03-03-2022,INCIDENTE
924,31,82/22-C,L.................... S/INCIDENTE,03-03-2022,INCIDENTE
925,32,920/17,L.................... S/LIQUIDACION SOCIEDAD CONYUGAL,03-03-2022,LIQUIDACION SOCIEDAD CONYUGAL
926,33,834/19,L.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
927,34,901/20,L.................... S/VIOLENCIA DE GENERO,03-03-2022,VIOLENCIA DE GENERO
928,35,561/16,L.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
929,36,1005/15,M.................... S/ALIMENTOS,03-03-2022,ALIMENTOS
930,37,310/12,M.................... S/DECLARACION DE INCAPACIDAD,03-03-2022,DECLARACION DE INCAPACIDAD
931,38,1653/18,M.................... S/DIVORCIO,03-03-2022,DIVORCIO
932,39,598/16,M.................... S/DIVORCIO VINCULAR,03-03-2022,DIVORCIO VINCULAR
933,40,798/15,M.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
934,41,290/01,O.................... S/.SEPARACION PERSONAL,03-03-2022,.SEPARACION PERSONAL
935,42,501/10-JC,O.................... S/DECLARACION DE INCAPACIDAD,03-03-2022,DECLARACION DE INCAPACIDAD
936,43,877/15,O.................... S/DECLARACION DE INCAPACIDAD,03-03-2022,DECLARACION DE INCAPACIDAD
937,44,138/21-P,O.................... S/JUICIO ORDINARIO,03-03-2022,JUICIO ORDINARIO
938,45,244/21-S,O.................... S/PROTECCION DE PERSONA,03-03-2022,PROTECCION DE PERSONA
939,46,678/19,P.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
940,47,436/16,R.................... S/INCIDENTE,03-03-2022,INCIDENTE
941,48,367/21-C,R.................... S/INFORMACION SUMARIA,03-03-2022,INFORMACION SUMARIA
942,49,132/18,R.................... S/PROTECCION DE PERSONA,03-03-2022,PROTECCION DE PERSONA
943,50,64/20,R.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
944,51,670/18,R.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
945,52,985/19,R.................... S/PROTECCION INTEGRAL,03-03-2022,PROTECCION INTEGRAL
946,53,1563/19,R.................... S/TUTELA,03-03-2022,TUTELA
947,54,15/17,R.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
948,55,1517/18,R.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
949,56,1697/18,S.................... S/DERECHO Y DEBER DE COMUNICACION,03-03-2022,DERECHO Y DEBER DE COMUNICACION
950,57,1742/19,S.................... S/DIVORCIO,03-03-2022,DIVORCIO
951,58,81/22-C,S.................... S/INCIDENTE,03-03-2022,INCIDENTE
952,1,440/12,A.................... S/FILIACION Y DAÑO MORAL,04-03-2022,FILIACION Y DAÑO MORAL
953,2,208/21-P,A.................... S/MEDIDAS DE COMPETENCIA PENAL,04-03-2022,MEDIDAS DE COMPETENCIA PENAL
954,3,11/22-S,A.................... S/PROTECCION INTEGRAL,04-03-2022,PROTECCION INTEGRAL
955,4,1107/16,A.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
956,5,647/15,A.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
957,6,08/20,A.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
958,7,1158/15,A.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
959,8,85/22-C,B.................... S/INCIDENTE,04-03-2022,INCIDENTE
960,9,760/20,B.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
961,10,394/15,B.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
962,11,224/17,C.................... S/ELEVA ACTUACIONES,04-03-2022,ELEVA ACTUACIONES
963,12,257/20,C.................... S/ELEVA ACTUACIONES,04-03-2022,ELEVA ACTUACIONES
964,13,630/20,C.................... S/ELEVA ACTUACIONES,04-03-2022,ELEVA ACTUACIONES
965,14,1034/19,C.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
966,15,448/20,C.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
967,16,259/21-C,D.................... S/ALIMENTOS,04-03-2022,ALIMENTOS
968,17,53/21-C,D.................... S/EJECUCION DE HONORARIOS,04-03-2022,EJECUCION DE HONORARIOS
969,18,969/20,D.................... S/INCIDENTE DE REMOCION DE TUTOR,04-03-2022,INCIDENTE DE REMOCION DE TUTOR
970,19,04/22-C,D.................... S/LIQUIDACION SOCIEDAD CONYUGAL,04-03-2022,LIQUIDACION SOCIEDAD CONYUGAL
971,20,556/20,F.................... S/DIVORCIO,04-03-2022,DIVORCIO
972,21,339/20,F.................... S/HOMOLOGACION DE CONVENIO,04-03-2022,HOMOLOGACION DE CONVENIO
973,22,1790/18,F.................... S/PROTECCION INTEGRAL,04-03-2022,PROTECCION INTEGRAL
974,23,385/20,G.................... S/ALIMENTOS,04-03-2022,ALIMENTOS
975,24,90/21-C,G.................... S/MEDIDA CAUTELAR,04-03-2022,MEDIDA CAUTELAR
976,25,494/20,G.................... S/PROTECCION INTEGRAL,04-03-2022,PROTECCION INTEGRAL
977,26,766/20,G.................... S/VIOLENCIA DE GENERO,04-03-2022,VIOLENCIA DE GENERO
978,27,272/17,G.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
979,28,113/17,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
980,29,485/17,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
981,30,1430/19,I.................... S/INFORMACION SUMARIA,04-03-2022,INFORMACION SUMARIA
982,31,142/17,J.................... S/ELEVA ACTUACIONES,04-03-2022,ELEVA ACTUACIONES
983,32,425/15,J.................... S/ELEVA ACTUACIONES,04-03-2022,ELEVA ACTUACIONES
984,33,904/20,J.................... S/VIOLENCIA DE GENERO,04-03-2022,VIOLENCIA DE GENERO
985,34,92/12,K.................... S/DECLARACION DE INCAPACIDAD,04-03-2022,DECLARACION DE INCAPACIDAD
986,35,266/17,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
987,36,1088/07-JC,L.................... S/FILIACION Y DAÑO MORAL,04-03-2022,FILIACION Y DAÑO MORAL
988,37,280/21-C,L.................... S/INCIDENTE DE CESACION DE CUOTA,04-03-2022,INCIDENTE DE CESACION DE CUOTA
989,38,787/19,L.................... S/PROTECCION INTEGRAL,04-03-2022,PROTECCION INTEGRAL
990,39,51/17,L.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
991,40,408/20,M.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
992,41,405/15,M.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
993,42,237/21-C,N.................... S/HOMOLOGACION DE CONVENIO,04-03-2022,HOMOLOGACION DE CONVENIO
994,43,454/20,N.................... S/RECTIFICACION DE PARTIDA,04-03-2022,RECTIFICACION DE PARTIDA
995,44,1652/18,O.................... S/EJECUCION DE SENTENCIA,04-03-2022,EJECUCION DE SENTENCIA
996,45,444/16,O.................... S/INCIDENTE,04-03-2022,INCIDENTE
997,46,215/20,O.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
998,47,61/22-S,P.................... S/VIOLENCIA DE GENERO,04-03-2022,VIOLENCIA DE GENERO
999,48,507/20,P.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
1000,49,311/21-C,R.................... S/DIVORCIO,04-03-2022,DIVORCIO
1001,50,215/21-C,R.................... S/INCIDENTE DE MODIFICACION DE,04-03-2022,INCIDENTE DE MODIFICACION DE
1002,51,367/21-C,R.................... S/INFORMACION SUMARIA,04-03-2022,INFORMACION SUMARIA
1003,52,703/20,R.................... S/VIOLENCIA DE GENERO,04-03-2022,VIOLENCIA DE GENERO
1004,53,96/21-S,R.................... S/VIOLENCIA DE GENERO,04-03-2022,VIOLENCIA DE GENERO
1005,54,141/17,R.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
1006,55,605/20,S.................... S/PROTECCION INTEGRAL,04-03-2022,PROTECCION INTEGRAL
1007,56,638/15,S.................... S/PROTECCION INTEGRAL,04-03-2022,PROTECCION INTEGRAL
1008,57,77/17,S.................... S/TERCERIA DE DOMINIO,04-03-2022,TERCERIA DE DOMINIO
1009,58,97/17,S.................... S/TERCERIA DE DOMINIO,04-03-2022,TERCERIA DE DOMINIO
1010,59,22/22-S,S.................... S/VIOLENCIA FAMILIAR,04-03-2022,VIOLENCIA FAMILIAR
1011,60,268/17,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,04-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
1012,61,862/09-JC,T.................... S/.EJECUCION DE SENTENCIA,04-03-2022,.EJECUCION DE SENTENCIA
1013,62,689/15,T.................... S/PROTECCION DE PERSONA,04-03-2022,PROTECCION DE PERSONA
1014,63,565/18,U.................... S/ALIMENTOS,04-03-2022,ALIMENTOS
1015,64,345/21-C,V.................... S/MEDIDA CAUTELAR,04-03-2022,MEDIDA CAUTELAR
1016,65,48/22-C,W.................... S/DIVORCIO,04-03-2022,DIVORCIO
1017,1,583/18,A.................... S/ALIMENTOS,07-03-2022,ALIMENTOS
1018,2,812/05-JC,A.................... S/FILIACION,07-03-2022,FILIACION
1019,3,37/22-S,A.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1020,4,729/19,A.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1021,5,144/17,A.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
1022,6,1100/17,B.................... S/FILIACION Y DAÑO MORAL,07-03-2022,FILIACION Y DAÑO MORAL
1023,7,501/20,B.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
1024,8,1189/19,C.................... S/ALIMENTOS,07-03-2022,ALIMENTOS
1025,9,1333/19,C.................... S/DIVORCIO,07-03-2022,DIVORCIO
1026,10,1386/19,C.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1027,11,230/17,C.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1028,12,338/17,C.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1029,13,420/17,C.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1030,14,668/18,C.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1031,15,245/21-S,C.................... S/INCIDENTE DE LEVANTAMIENTO DE,07-03-2022,INCIDENTE DE LEVANTAMIENTO DE
1032,16,226/21-OF,C.................... S/OFICIO,07-03-2022,OFICIO
1033,17,31/22-S,C.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1034,18,361/17,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
1035,19,429/19,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
1036,20,339/15,C.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
1037,21,1889/19,D.................... S/EJECUCION DE HONORARIOS,07-03-2022,EJECUCION DE HONORARIOS
1038,22,50/22-C,D.................... S/EJECUCION DE HONORARIOS,07-03-2022,EJECUCION DE HONORARIOS
1039,23,846/18,D.................... S/EJECUCION DE SENTENCIA,07-03-2022,EJECUCION DE SENTENCIA
1040,24,341/17,D.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1041,25,824/20,D.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1042,26,13/22-OF,D.................... S/OFICIO,07-03-2022,OFICIO
1043,27,1385/18,D.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1044,28,1611/19,D.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1045,29,269/06-JC,F.................... S/.FILIACION,07-03-2022,.FILIACION
1046,30,346/20,F.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1047,31,1287/17,G.................... S/NULIDAD DE RECONOCIMIENTO DE,07-03-2022,NULIDAD DE RECONOCIMIENTO DE
1048,32,1191/18,G.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1049,33,28/22-S,G.................... S/VIOLENCIA DE GENERO,07-03-2022,VIOLENCIA DE GENERO
1050,34,689/20,G.................... S/VIOLENCIA DE GENERO,07-03-2022,VIOLENCIA DE GENERO
1051,35,1456/19,G.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1052,36,412/20,G.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1053,37,215/17,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
1054,38,1466/18,H.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1055,39,128/17,J.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1056,40,219/21-S,J.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1057,41,267/17,J.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1058,42,520/20,J.................... S/ELEVA ACTUACIONES,07-03-2022,ELEVA ACTUACIONES
1059,43,1295/17,K.................... S/DIVORCIO VINCULAR,07-03-2022,DIVORCIO VINCULAR
1060,44,286/21-S,L.................... S/CONTROL DE LEGALIDAD,07-03-2022,CONTROL DE LEGALIDAD
1061,45,12/22-OF,L.................... S/OFICIO,07-03-2022,OFICIO
1062,46,63/21-OF,L.................... S/OFICIO,07-03-2022,OFICIO
1063,47,1199/18,L.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1064,48,901/20,L.................... S/VIOLENCIA DE GENERO,07-03-2022,VIOLENCIA DE GENERO
1065,49,122/17,L.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1066,50,12/17,L.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
1067,51,931/20,M.................... S/ALIMENTOS,07-03-2022,ALIMENTOS
1068,52,139/21-C,M.................... S/DIVORCIO,07-03-2022,DIVORCIO
1069,53,81/20-OF,M.................... S/OFICIO,07-03-2022,OFICIO
1070,54,355/21-S,M.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1071,55,341/21-C,N.................... S/MEDIDA CAUTELAR,07-03-2022,MEDIDA CAUTELAR
1072,56,95/22-S,N.................... S/VIOLENCIA DE GENERO,07-03-2022,VIOLENCIA DE GENERO
1073,57,210/21-C,O.................... S/DIVORCIO,07-03-2022,DIVORCIO
1074,58,306/21-C,P.................... S/MEDIDA CAUTELAR,07-03-2022,MEDIDA CAUTELAR
1075,59,46/22-S,P.................... S/PRESENTACION,07-03-2022,PRESENTACION
1076,60,19/22-S,Q.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1077,61,1756/19,Q.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1078,62,524/17,Q.................... S/VIOLENCIA FAMILIAR (DENUNCIA,07-03-2022,VIOLENCIA FAMILIAR (DENUNCIA
1079,63,866/18,R.................... S/DIVORCIO,07-03-2022,DIVORCIO
1080,64,839/18,R.................... S/PROTECCION INTEGRAL,07-03-2022,PROTECCION INTEGRAL
1081,65,102/19,R.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1082,66,349/17,R.................... S/VIOLENCIA FAMILIAR,07-03-2022,VIOLENCIA FAMILIAR
1083,67,1297/14,S.................... S/ALIMENTOS,07-03-2022,ALIMENTOS
1084,68,1584/19,S.................... S/ALIMENTOS,07-03-2022,ALIMENTOS
